station,window_months,window_start_month,window_end_month,rolling_mean_cfs,partial_months_in_window,unusable_months_in_window,historical_rank_lowest,historical_n,low_flow_percentile
Comal Springs,3,1956-11-01,1957-01-01,36.08064516129032,0,0,8,1133,0.706090026478376
Comal Springs,3,1984-07-01,1984-09-01,36.08100358422939,0,0,9,1133,0.7943512797881729
Comal Springs,3,1956-12-01,1957-02-01,45.43778801843318,0,0,10,1133,0.8826125330979699
Comal Springs,3,1956-03-01,1956-05-01,46.15555555555555,0,0,11,1133,0.9708737864077669
Comal Springs,3,1984-06-01,1984-08-01,48.114336917562724,0,0,12,1133,1.059135039717564
Comal Springs,3,1955-08-01,1955-10-01,54.93763440860215,0,0,13,1133,1.1473962930273611
Comal Springs,3,1957-01-01,1957-03-01,55.373271889400925,0,0,14,1133,1.235657546337158
Comal Springs,3,1955-07-01,1955-09-01,57.002150537634414,0,0,15,1133,1.323918799646955
Comal Springs,3,1984-08-01,1984-10-01,60.25304659498208,0,0,16,1133,1.412180052956752
Comal Springs,3,1955-09-01,1955-11-01,61.603584229390684,0,0,17,1133,1.500441306266549
Comal Springs,3,2024-10-01,2024-12-01,64.11863799283154,0,0,18,1133,1.5887025595763458
Comal Springs,3,2024-11-01,2025-01-01,66.78530465949821,0,0,19,1133,1.6769638128861428
Comal Springs,3,2025-03-01,2025-05-01,67.19318996415771,0,0,20,1133,1.7652250661959399
Comal Springs,3,1956-02-01,1956-04-01,68.02392782103571,0,0,21,1133,1.8534863195057367
Comal Springs,3,1955-06-01,1955-08-01,68.13548387096775,0,0,22,1133,1.9417475728155338
Comal Springs,3,2025-10-01,2025-12-01,68.18745519713262,0,0,23,1133,2.0300088261253313
Comal Springs,3,1984-05-01,1984-07-01,68.94229390681004,0,0,24,1133,2.118270079435128
Comal Springs,3,2026-01-01,2026-03-01,69.3863287250384,0,0,25,1133,2.206531332744925
Comal Springs,3,2026-02-01,2026-04-01,70.60389144905274,0,0,26,1133,2.2947925860547222
Comal Springs,3,2025-11-01,2026-01-01,70.71433691756272,0,0,27,1133,2.383053839364519
Comal Springs,3,2025-12-01,2026-02-01,72.784178187404,0,0,28,1133,2.471315092674316
Comal Springs,3,1957-02-01,1957-04-01,72.91950844854071,0,0,29,1133,2.559576345984113
Comal Springs,3,2024-12-01,2025-02-01,73.10752688172043,0,0,30,1133,2.64783759929391
Comal Springs,3,2024-09-01,2024-11-01,73.23548387096774,0,0,31,1133,2.736098852603707
Comal Springs,3,1955-10-01,1955-12-01,73.61218637992832,0,0,32,1133,2.824360105913504
Comal Springs,3,2025-09-01,2025-11-01,74.38888888888889,0,0,33,1133,2.912621359223301
Comal Springs,3,2023-08-01,2023-10-01,74.46594982078852,0,0,34,1133,3.000882612533098
Comal Springs,3,2025-02-01,2025-04-01,75.70931899641577,0,0,35,1133,3.089143865842895
Comal Springs,3,2023-07-01,2023-09-01,76.14336917562724,0,0,36,1133,3.1774051191526915
Comal Springs,3,2025-01-01,2025-03-01,77.3225806451613,0,0,37,1133,3.265666372462489
Comal Springs,3,1989-07-01,1989-09-01,80.9168458781362,0,0,38,1133,3.3539276257722856
Comal Springs,3,2025-04-01,2025-06-01,81.28387096774193,0,0,39,1133,3.442188879082083
Comal Springs,3,1955-05-01,1955-07-01,81.83440860215053,0,0,40,1133,3.5304501323918798
Comal Springs,3,2014-08-01,2014-10-01,81.99928315412187,0,0,41,1133,3.618711385701677
Comal Springs,3,2025-08-01,2025-10-01,82.73906810035842,0,0,42,1133,3.7069726390114734
Comal Springs,3,2024-08-01,2024-10-01,83.61146953405017,0,0,43,1133,3.795233892321271
Comal Springs,3,1989-08-01,1989-10-01,83.7663082437276,0,0,44,1133,3.8834951456310676
Comal Springs,3,1955-11-01,1956-01-01,84.37562724014337,0,0,45,1133,3.971756398940865
Comal Springs,3,1956-01-01,1956-03-01,84.52428624397479,0,0,46,1133,4.060017652250663
Comal Springs,3,1954-07-01,1954-09-01,88.60860215053764,0,0,47,1133,4.148278905560459
Comal Springs,3,1954-08-01,1954-10-01,89.88817204301075,0,0,48,1133,4.236540158870256
Comal Springs,3,1967-06-01,1967-08-01,89.91111111111111,0,0,49,1133,4.324801412180053
Comal Springs,3,1955-12-01,1956-02-01,91.52428624397479,0,0,50,1133,4.41306266548985
Comal Springs,6,1956-06-01,1956-11-01,4.2,0,0,1,1130,0.08849557522123894
Comal Springs,6,1956-05-01,1956-10-01,5.245698924731183,0,0,2,1130,0.17699115044247787
Comal Springs,6,1956-07-01,1956-12-01,9.513440860215054,0,0,3,1130,0.2654867256637168
Comal Springs,6,1956-04-01,1956-09-01,12.156810035842295,0,0,4,1130,0.35398230088495575
Comal Springs,6,1956-08-01,1957-01-01,18.04032258064516,0,0,5,1130,0.4424778761061947
Comal Springs,6,1956-03-01,1956-08-01,23.694444444444443,0,0,6,1130,0.5309734513274336
Comal Springs,6,1956-09-01,1957-02-01,26.302227342549923,0,0,7,1130,0.6194690265486725
Comal Springs,6,1956-10-01,1957-03-01,37.20007680491551,0,0,8,1130,0.7079646017699115
Comal Springs,6,1956-02-01,1956-07-01,39.25766283524904,0,0,9,1130,0.7964601769911505
Comal Springs,6,1956-01-01,1956-06-01,54.418953157829684,0,0,10,1130,0.8849557522123894
