station,year,month,observed_days,monthly_mean_cfs,expected_days,coverage_pct,complete_month,year_status,year_used,forced_include,month_status,month_usable_for_rolling
Comal Springs,1927,1927-12-01,13,298.46153846153845,31,41.935483870967744,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, LOW COVERAGE",FALSE
Comal Springs,1928,1928-01-01,31,296.96774193548384,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1928,1928-02-01,25,295.16,29,86.20689655172414,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, LOW COVERAGE",FALSE
Comal Springs,1928,1928-03-01,27,297.44444444444446,31,87.09677419354838,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, LOW COVERAGE",FALSE
Comal Springs,1928,1928-04-01,30,296.8333333333333,30,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1928,1928-05-01,29,292.2413793103448,31,93.54838709677419,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, USABLE",FALSE
Comal Springs,1928,1928-06-01,26,297.8076923076923,30,86.66666666666667,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, LOW COVERAGE",FALSE
Comal Springs,1928,1928-07-01,31,288.258064516129,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1928,1928-08-01,31,274.9032258064516,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1928,1928-09-01,30,274.23333333333335,30,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1928,1928-10-01,31,281.83870967741933,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1928,1928-11-01,30,276,30,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1928,1928-12-01,31,278.80645161290323,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1929,1929-01-01,31,279.38709677419354,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1929,1929-02-01,28,273.60714285714283,28,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1929,1929-03-01,31,268.8709677419355,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1929,1929-04-01,30,274.03333333333336,30,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1929,1929-05-01,24,274.7083333333333,31,77.41935483870968,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, LOW COVERAGE",FALSE
Comal Springs,1929,1929-06-01,29,300.8965517241379,30,96.66666666666667,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, USABLE",FALSE
Comal Springs,1929,1929-07-01,27,317.81481481481484,31,87.09677419354838,FALSE,"PARTIAL, EXCLUDED",FALSE,FALSE,"PARTIAL, LOW COVERAGE",FALSE
Comal Springs,1929,1929-08-01,31,310.0967741935484,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1929,1929-09-01,30,299.6333333333333,30,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
Comal Springs,1929,1929-10-01,31,289.16129032258067,31,100,TRUE,"PARTIAL, EXCLUDED",FALSE,FALSE,COMPLETE,FALSE
