Site_Id,SensorName,dt_CST,val_Fin,UnitsName
HCP1_SPRING7,WATTEMP,1/1/2025 22:30,23.77,C
HCP1_SPRING7,WATTEMP,1/1/2025 22:45,23.77,C
HCP1_SPRING7,WATTEMP,1/1/2025 23:00,23.77,C
HCP1_SPRING7,WATTEMP,1/1/2025 23:15,23.77,C
HCP1_SPRING7,WATTEMP,1/1/2025 23:30,23.77,C
HCP1_SPRING7,WATTEMP,1/1/2025 23:45,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 0:00,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 0:15,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 0:30,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 0:45,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 1:00,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 1:15,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 1:30,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 1:45,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 2:00,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 2:15,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 2:30,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 2:45,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 3:00,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 3:15,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 3:30,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 3:45,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 4:00,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 4:15,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 4:30,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 4:45,23.78,C
HCP1_SPRING7,WATTEMP,1/2/2025 5:00,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 5:15,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 5:30,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 5:45,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 6:00,23.78,C
HCP1_SPRING7,WATTEMP,1/2/2025 6:15,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 6:30,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 6:45,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 7:00,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 7:15,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 7:30,23.78,C
HCP1_SPRING7,WATTEMP,1/2/2025 7:45,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 8:00,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 8:15,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 8:30,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 8:45,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 9:00,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 9:15,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 9:30,23.77,C
HCP1_SPRING7,WATTEMP,1/2/2025 9:45,23.77,C
